"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","778","Delete a user via DELETE request","","2026-09-02","passed","2026-09-02","","","",""
"","1410","User can control dropdown feature","","2026-09-02","passed","2026-09-02","","","",""
"","2566","User can search for a product","","2026-09-02","passed","2026-09-02","","","",""
"","774","Create a new user via POST request","","2026-09-02","passed","2026-09-02","","","",""
"","1406","User can close Javascript alert","","2026-09-02","passed","2026-09-02","","","",""
"","2997","User can switch to iframe and enter text","","2026-09-02","passed","2026-09-02","","","",""
"","2325","Get user list vis Get request","","2026-09-02","passed","2026-09-02","","","",""
"","2005","User can hover element","","2026-09-02","passed","2026-09-02","","","",""
"","618","Update existing user details via PUT request","","2026-09-02","passed","2026-09-02","","","",""
"","1664","User can handle multiple windows","","2026-09-02","passed","2026-09-02","","","",""
"","1954","User can upload a file successfully","","2026-09-02","passed","2026-09-02","","","",""
"","12696","User can open the off-plan page and filter the result with ""Out of Stock"" option.","","2026-09-02","passed","2026-09-02","","","",""
