"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","607","Delete a user via DELETE request","","2026-08-30","passed","2026-08-30","","","",""
"","1659","User can hover element","","2026-08-30","passed","2026-08-30","","","",""
"","1133","User can control dropdown feature","","2026-08-30","passed","2026-08-30","","","",""
"","613","Create a new user via POST request","","2026-08-30","passed","2026-08-30","","","",""
"","7149","Get user list vis Get request","","2026-08-30","passed","2026-08-30","","","",""
"","1187","User can close Javascript alert","","2026-08-30","passed","2026-08-30","","","",""
"","1746","User can switch to iframe and enter text","","2026-08-30","passed","2026-08-30","","","",""
"","2899","User can open the off-plan page and filter the result with ""Out of Stock"" option.","","2026-08-30","broken","2026-08-30","","","",""
"","2189","User can search for a product","","2026-08-30","passed","2026-08-30","","","",""
"","1217","User can handle multiple windows","","2026-08-30","passed","2026-08-30","","","",""
"","1090","User can upload a file successfully","","2026-08-30","passed","2026-08-30","","","",""
"","707","Update existing user details via PUT request","","2026-08-30","passed","2026-08-30","","","",""
