"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14699","User can switch to iframe and enter text","","2026-08-29","broken","2026-08-29","","","",""
"","125","Get user list vis Get request","","2026-08-29","passed","2026-08-29","","","",""
"","2248","User can hover element","","2026-08-29","passed","2026-08-29","","","",""
"","1280","User can open the off-plan page and filter the result with ""Out of Stock"" option.","","2026-08-29","broken","2026-08-29","","","",""
"","944","User can close Javascript alert","","2026-08-29","passed","2026-08-29","","","",""
"","4899","User can control dropdown feature","","2026-08-29","broken","2026-08-29","","","",""
"","2113","User can search for a product","","2026-08-29","passed","2026-08-29","","","",""
"","127","Create a new user via POST request","","2026-08-29","passed","2026-08-29","","","",""
"","967","User can handle multiple windows","","2026-08-29","broken","2026-08-29","","","",""
"","130","Update existing user details via PUT request","","2026-08-29","passed","2026-08-29","","","",""
"","131","Delete a user via DELETE request","","2026-08-29","passed","2026-08-29","","","",""
"","1143","User can upload a file successfully","","2026-08-29","passed","2026-08-29","","","",""
