"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","875","User can upload a file successfully","","2026-08-29","broken","2026-08-29","","","",""
"","989","User can search for a product","","2026-08-29","broken","2026-08-29","","","",""
"","2996","User can open the off-plan page and filter the result with ""Out of Stock"" option.","","2026-08-29","broken","2026-08-29","","","",""
"","1094","User can control dropdown feature","","2026-08-29","passed","2026-08-29","","","",""
"","7488","Get user list vis Get request","","2026-08-29","passed","2026-08-29","","","",""
"","12055","User can switch to iframe and enter text","","2026-08-29","broken","2026-08-29","","","",""
"","1096","User can hover element","","2026-08-29","broken","2026-08-29","","","",""
"","529","Create a new user via POST request","","2026-08-29","passed","2026-08-29","","","",""
"","520","Delete a user via DELETE request","","2026-08-29","passed","2026-08-29","","","",""
"","613","Update existing user details via PUT request","","2026-08-29","passed","2026-08-29","","","",""
"","848","User can close Javascript alert","","2026-08-29","broken","2026-08-29","","","",""
"","1062","User can handle multiple windows","","2026-08-29","broken","2026-08-29","","","",""
