"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","784","Delete a user via DELETE request","","2026-08-30","passed","2026-08-30","","","",""
"","1418","User can close Javascript alert","","2026-08-30","passed","2026-08-30","","","",""
"","3385","User can search for a product","","2026-08-30","passed","2026-08-30","","","",""
"","1360","User can upload a file successfully","","2026-08-30","passed","2026-08-30","","","",""
"","8955","Get user list vis Get request","","2026-08-30","passed","2026-08-30","","","",""
"","1303","User can control dropdown feature","","2026-08-30","passed","2026-08-30","","","",""
"","1840","User can hover element","","2026-08-30","passed","2026-08-30","","","",""
"","2061","User can switch to iframe and enter text","","2026-08-30","passed","2026-08-30","","","",""
"","3303","User can open the off-plan page and filter the result with ""Out of Stock"" option.","","2026-08-30","broken","2026-08-30","","","",""
"","696","Create a new user via POST request","","2026-08-30","passed","2026-08-30","","","",""
"","794","Update existing user details via PUT request","","2026-08-30","passed","2026-08-30","","","",""
"","1429","User can handle multiple windows","","2026-08-30","passed","2026-08-30","","","",""
